-183.117, 73.210, 1.651,  7.045
-183.112, 73.155, 1.657,  7.078
-183.107, 73.100, 1.663,  7.111
-183.102, 73.044, 1.670,  7.144
-183.098, 72.989, 1.676,  7.177
-183.093, 72.933, 1.682,  7.210
-183.088, 72.877, 1.689,  7.243
-183.083, 72.821, 1.695,  7.276
-183.079, 72.764, 1.702,  7.309
-183.074, 72.708, 1.708,  7.342
-183.069, 72.651, 1.714,  7.375
-183.065, 72.594, 1.721,  7.408
-183.060, 72.536, 1.727,  7.441
-183.055, 72.479, 1.734,  7.474
-183.050, 72.421, 1.740,  7.507
-183.046, 72.363, 1.747,  7.540
-183.041, 72.305, 1.753,  7.573
